time,v
1.850000000000000000e+02,-1.025358486175537109e+01
1.860000000000000000e+02,-1.110400485992431641e+01
1.870000000000000000e+02,-1.211539173126220703e+01
1.880000000000000000e+02,-1.301242733001708984e+01
1.890000000000000000e+02,-1.401442432403564453e+01
1.900000000000000000e+02,-1.511805152893066406e+01
1.910000000000000000e+02,-1.614148521423339844e+01
1.920000000000000000e+02,-1.725628471374511719e+01
1.930000000000000000e+02,-1.831624603271484375e+01
1.940000000000000000e+02,-1.942240524291992188e+01
1.950000000000000000e+02,-2.051143455505371094e+01
1.960000000000000000e+02,-2.163929557800292969e+01
1.970000000000000000e+02,-2.274757575988769531e+01
1.980000000000000000e+02,-2.398014068603515625e+01
1.990000000000000000e+02,-2.515259361267089844e+01
2.000000000000000000e+02,-2.642690849304199219e+01
2.010000000000000000e+02,-2.763619613647460938e+01
2.020000000000000000e+02,-2.898432159423828125e+01
2.030000000000000000e+02,-3.036057853698730469e+01
2.040000000000000000e+02,-3.179220390319824219e+01
2.050000000000000000e+02,-3.310658645629882812e+01
2.060000000000000000e+02,-3.444498443603515625e+01
2.070000000000000000e+02,-3.586043548583984375e+01
2.080000000000000000e+02,-3.729328536987304688e+01
2.090000000000000000e+02,-3.878586959838867188e+01
2.100000000000000000e+02,-4.016224670410156250e+01
2.110000000000000000e+02,-4.166024780273437500e+01
2.120000000000000000e+02,-4.314120101928710938e+01
2.130000000000000000e+02,-4.468174362182617188e+01
2.140000000000000000e+02,-4.619320297241210938e+01
2.150000000000000000e+02,-4.772398376464843750e+01
2.160000000000000000e+02,-4.924370956420898438e+01
2.170000000000000000e+02,-5.078757476806640625e+01
2.180000000000000000e+02,-5.234081268310546875e+01
2.190000000000000000e+02,-5.394132614135742188e+01
2.200000000000000000e+02,-5.553665542602539062e+01
2.210000000000000000e+02,-5.712619781494140625e+01
2.220000000000000000e+02,-5.872828292846679688e+01
2.230000000000000000e+02,-6.038211059570312500e+01
2.240000000000000000e+02,-6.204612350463867188e+01
2.250000000000000000e+02,-6.371596908569335938e+01
2.260000000000000000e+02,-6.538537597656250000e+01
2.270000000000000000e+02,-6.704606628417968750e+01
2.280000000000000000e+02,-6.864220428466796875e+01
2.290000000000000000e+02,-7.025302124023437500e+01
2.300000000000000000e+02,-7.181881713867187500e+01
2.310000000000000000e+02,-7.332523345947265625e+01
2.320000000000000000e+02,-7.475835418701171875e+01
2.330000000000000000e+02,-7.608118438720703125e+01
2.340000000000000000e+02,-7.733471679687500000e+01
2.350000000000000000e+02,-7.848574829101562500e+01
2.360000000000000000e+02,-7.953080749511718750e+01
2.370000000000000000e+02,-8.046977996826171875e+01
2.380000000000000000e+02,-8.130544281005859375e+01
