time,JNCX
2.620000000000000000e+02,4.799581319093704224e-02
2.630000000000000000e+02,4.781869426369667053e-02
2.640000000000000000e+02,4.761298373341560364e-02
2.650000000000000000e+02,4.733157157897949219e-02
2.660000000000000000e+02,4.731199890375137329e-02
2.670000000000000000e+02,4.715225100517272949e-02
2.680000000000000000e+02,4.674290865659713745e-02
2.690000000000000000e+02,4.656207561492919922e-02
2.700000000000000000e+02,4.628551378846168518e-02
2.710000000000000000e+02,4.603918641805648804e-02
2.720000000000000000e+02,4.554257169365882874e-02
2.730000000000000000e+02,4.520215839147567749e-02
2.740000000000000000e+02,4.464503750205039978e-02
2.750000000000000000e+02,4.471692815423011780e-02
2.760000000000000000e+02,4.429719597101211548e-02
2.770000000000000000e+02,4.399109259247779846e-02
2.780000000000000000e+02,4.384360089898109436e-02
2.790000000000000000e+02,4.370352253317832947e-02
2.800000000000000000e+02,4.307542368769645691e-02
2.810000000000000000e+02,4.291545227169990540e-02
2.820000000000000000e+02,4.256217554211616516e-02
2.830000000000000000e+02,4.239986091852188110e-02
2.840000000000000000e+02,4.195835813879966736e-02
2.850000000000000000e+02,4.176430404186248779e-02
2.860000000000000000e+02,4.139234125614166260e-02
2.870000000000000000e+02,4.101457074284553528e-02
2.880000000000000000e+02,4.055918008089065552e-02
2.890000000000000000e+02,4.046209156513214111e-02
2.900000000000000000e+02,4.013381153345108032e-02
2.910000000000000000e+02,3.968907147645950317e-02
2.920000000000000000e+02,3.877269849181175232e-02
2.930000000000000000e+02,3.798061609268188477e-02
2.940000000000000000e+02,3.738454729318618774e-02
2.950000000000000000e+02,3.680824115872383118e-02
2.960000000000000000e+02,3.661488741636276245e-02
2.970000000000000000e+02,3.585784509778022766e-02
2.980000000000000000e+02,3.505616262555122375e-02
2.990000000000000000e+02,3.446314111351966858e-02
3.000000000000000000e+02,3.350286930799484253e-02
3.010000000000000000e+02,3.273347392678260803e-02
3.020000000000000000e+02,3.197310864925384521e-02
3.030000000000000000e+02,3.136838600039482117e-02
3.040000000000000000e+02,3.043768741190433502e-02
3.050000000000000000e+02,2.948728203773498535e-02
3.060000000000000000e+02,2.835116535425186157e-02
3.070000000000000000e+02,2.723100781440734863e-02
3.080000000000000000e+02,2.622933313250541687e-02
3.090000000000000000e+02,2.512399666011333466e-02
3.100000000000000000e+02,2.418051287531852722e-02
3.110000000000000000e+02,2.305894158780574799e-02
3.120000000000000000e+02,2.155257761478424072e-02
3.130000000000000000e+02,2.023053169250488281e-02
3.140000000000000000e+02,1.883984729647636414e-02
3.150000000000000000e+02,1.741570793092250824e-02
3.160000000000000000e+02,1.614355854690074921e-02
3.170000000000000000e+02,1.473881863057613373e-02
3.180000000000000000e+02,1.301579643040895462e-02
3.190000000000000000e+02,1.134740747511386871e-02
3.200000000000000000e+02,9.625133126974105835e-03
3.210000000000000000e+02,8.096642792224884033e-03
3.220000000000000000e+02,6.537142675369977951e-03
3.230000000000000000e+02,4.890068434178829193e-03
3.240000000000000000e+02,3.277273848652839661e-03
3.250000000000000000e+02,1.693091588094830513e-03
3.260000000000000000e+02,-5.229264934314414859e-05
3.270000000000000000e+02,-1.588338054716587067e-03
3.280000000000000000e+02,-3.194601042196154594e-03
3.290000000000000000e+02,-4.928699228912591934e-03
3.300000000000000000e+02,-6.558507215231657028e-03
3.310000000000000000e+02,-8.084828034043312073e-03
3.320000000000000000e+02,-9.659811854362487793e-03
3.330000000000000000e+02,-1.123028621077537537e-02
3.340000000000000000e+02,-1.262685377150774002e-02
3.350000000000000000e+02,-1.398858614265918732e-02
3.360000000000000000e+02,-1.533966138958930969e-02
3.370000000000000000e+02,-1.676145382225513458e-02
3.380000000000000000e+02,-1.813646964728832245e-02
3.390000000000000000e+02,-1.942645944654941559e-02
3.400000000000000000e+02,-2.065448090434074402e-02
3.410000000000000000e+02,-2.178281359374523163e-02
3.420000000000000000e+02,-2.291479893028736115e-02
3.430000000000000000e+02,-2.402958646416664124e-02
3.440000000000000000e+02,-2.506426535546779633e-02
3.450000000000000000e+02,-2.605758421123027802e-02
3.460000000000000000e+02,-2.698583155870437622e-02
3.470000000000000000e+02,-2.782471850514411926e-02
3.480000000000000000e+02,-2.860953100025653839e-02
3.490000000000000000e+02,-2.929423563182353973e-02
3.500000000000000000e+02,-2.991232834756374359e-02
3.510000000000000000e+02,-3.043739870190620422e-02
3.520000000000000000e+02,-3.086434677243232727e-02
3.530000000000000000e+02,-3.119001910090446472e-02
3.540000000000000000e+02,-3.139585256576538086e-02
3.550000000000000000e+02,-3.152155131101608276e-02
3.560000000000000000e+02,-3.155161067843437195e-02
3.570000000000000000e+02,-3.149249404668807983e-02
3.580000000000000000e+02,-3.135257214307785034e-02
3.590000000000000000e+02,-3.114134073257446289e-02
3.600000000000000000e+02,-3.086876682937145233e-02
3.610000000000000000e+02,-3.054476901888847351e-02
3.620000000000000000e+02,-3.017877042293548584e-02
3.630000000000000000e+02,-2.977944910526275635e-02
3.640000000000000000e+02,-2.935467101633548737e-02
3.650000000000000000e+02,-2.891127392649650574e-02
3.660000000000000000e+02,-2.845517732203006744e-02
3.670000000000000000e+02,-2.799132280051708221e-02
3.680000000000000000e+02,-2.752392366528511047e-02
3.690000000000000000e+02,-2.705643698573112488e-02
3.700000000000000000e+02,-2.659163251519203186e-02
3.710000000000000000e+02,-2.613177709281444550e-02
3.720000000000000000e+02,-2.567861415445804596e-02
3.730000000000000000e+02,-2.523351088166236877e-02
3.740000000000000000e+02,-2.479753084480762482e-02
3.750000000000000000e+02,-2.435837499797344208e-02
3.760000000000000000e+02,-2.394516021013259888e-02
3.770000000000000000e+02,-2.354231476783752441e-02
3.780000000000000000e+02,-2.315000444650650024e-02
3.790000000000000000e+02,-2.276835963129997253e-02
3.800000000000000000e+02,-2.239742502570152283e-02
3.810000000000000000e+02,-2.203715406358242035e-02
3.820000000000000000e+02,-2.168745733797550201e-02
3.830000000000000000e+02,-2.134817652404308319e-02
3.840000000000000000e+02,-2.100710570812225342e-02
3.850000000000000000e+02,-2.069039456546306610e-02
3.860000000000000000e+02,-2.038308419287204742e-02
3.870000000000000000e+02,-2.008488215506076813e-02
3.880000000000000000e+02,-1.979558728635311127e-02
3.890000000000000000e+02,-1.951497048139572144e-02
3.900000000000000000e+02,-1.924282498657703400e-02
3.910000000000000000e+02,-1.897891797125339508e-02
3.920000000000000000e+02,-1.872299984097480774e-02
3.930000000000000000e+02,-1.847482845187187195e-02
3.940000000000000000e+02,-1.823416724801063538e-02
3.950000000000000000e+02,-1.800078526139259338e-02
3.960000000000000000e+02,-1.777444221079349518e-02
3.970000000000000000e+02,-1.755490712821483612e-02
3.980000000000000000e+02,-1.734195463359355927e-02
3.990000000000000000e+02,-1.713537983596324921e-02
4.000000000000000000e+02,-1.693494990468025208e-02
4.010000000000000000e+02,-1.674048043787479401e-02
4.020000000000000000e+02,-1.655174605548381805e-02
4.030000000000000000e+02,-1.636859029531478882e-02
4.040000000000000000e+02,-1.619078405201435089e-02
4.050000000000000000e+02,-1.601819694042205811e-02
4.060000000000000000e+02,-1.585059985518455505e-02
4.070000000000000000e+02,-1.568787358701229095e-02
4.080000000000000000e+02,-1.552983373403549194e-02
4.090000000000000000e+02,-1.537632755935192108e-02
4.100000000000000000e+02,-1.522719766944646835e-02
4.110000000000000000e+02,-1.508233044296503067e-02
4.120000000000000000e+02,-1.494154520332813263e-02
4.130000000000000000e+02,-1.480473019182682037e-02
4.140000000000000000e+02,-1.467177551239728928e-02
4.150000000000000000e+02,-1.454252284020185471e-02
4.160000000000000000e+02,-1.441685110330581665e-02
4.170000000000000000e+02,-1.429468765854835510e-02
4.180000000000000000e+02,-1.417589467018842697e-02
4.190000000000000000e+02,-1.406034175306558609e-02
4.200000000000000000e+02,-1.394794508814811707e-02
4.210000000000000000e+02,-1.383862737566232681e-02
4.220000000000000000e+02,-1.373228896409273148e-02
4.230000000000000000e+02,-1.362879853695631027e-02
4.240000000000000000e+02,-1.352808158844709396e-02
4.250000000000000000e+02,-1.343007013201713562e-02
4.260000000000000000e+02,-1.333469711244106293e-02
4.270000000000000000e+02,-1.324186194688081741e-02
4.280000000000000000e+02,-1.315145939588546753e-02
4.290000000000000000e+02,-1.306344009935855865e-02
4.300000000000000000e+02,-1.297774538397789001e-02
4.310000000000000000e+02,-1.289429329335689545e-02
4.320000000000000000e+02,-1.281302515417337418e-02
4.330000000000000000e+02,-1.273387204855680466e-02
4.340000000000000000e+02,-1.265675853937864304e-02
4.350000000000000000e+02,-1.258163247257471085e-02
4.360000000000000000e+02,-1.250842399895191193e-02
4.370000000000000000e+02,-1.243711169809103012e-02
4.380000000000000000e+02,-1.236759964376688004e-02
4.390000000000000000e+02,-1.229985896497964859e-02
4.400000000000000000e+02,-1.223385892808437347e-02
4.410000000000000000e+02,-1.216953154653310776e-02
4.420000000000000000e+02,-1.210681069642305374e-02
4.430000000000000000e+02,-1.204564888030290604e-02
4.440000000000000000e+02,-1.198601815849542618e-02
4.450000000000000000e+02,-1.192786823958158493e-02
4.460000000000000000e+02,-1.187115907669067383e-02
4.470000000000000000e+02,-1.181586086750030518e-02
4.480000000000000000e+02,-1.176195126026868820e-02
