time,ci
2.160000000000000000e+02,3.268551230430603027e-01
2.170000000000000000e+02,3.218972086906433105e-01
2.180000000000000000e+02,3.169635832309722900e-01
2.190000000000000000e+02,3.120566010475158691e-01
2.200000000000000000e+02,3.071792721748352051e-01
2.210000000000000000e+02,3.023380041122436523e-01
2.220000000000000000e+02,2.975376844406127930e-01
2.230000000000000000e+02,2.927793562412261963e-01
2.240000000000000000e+02,2.880640923976898193e-01
2.250000000000000000e+02,2.833961546421051025e-01
2.260000000000000000e+02,2.787798047065734863e-01
2.270000000000000000e+02,2.742199301719665527e-01
2.280000000000000000e+02,2.697237133979797363e-01
2.290000000000000000e+02,2.652963697910308838e-01
2.300000000000000000e+02,2.609415650367736816e-01
2.310000000000000000e+02,2.566655576229095459e-01
2.320000000000000000e+02,2.524747550487518311e-01
2.330000000000000000e+02,2.483761161565780640e-01
2.340000000000000000e+02,2.443753927946090698e-01
2.350000000000000000e+02,2.404769957065582275e-01
2.360000000000000000e+02,2.366853803396224976e-01
2.370000000000000000e+02,2.330038547515869141e-01
2.380000000000000000e+02,2.294348180294036865e-01
2.390000000000000000e+02,2.259796857833862305e-01
2.400000000000000000e+02,2.226389348506927490e-01
2.410000000000000000e+02,2.194120883941650391e-01
2.420000000000000000e+02,2.162978798151016235e-01
2.430000000000000000e+02,2.132945507764816284e-01
2.440000000000000000e+02,2.103996574878692627e-01
2.450000000000000000e+02,2.076103836297988892e-01
2.460000000000000000e+02,2.049236297607421875e-01
2.470000000000000000e+02,2.023360282182693481e-01
2.480000000000000000e+02,1.998448073863983154e-01
2.490000000000000000e+02,1.974462568759918213e-01
2.500000000000000000e+02,1.951360404491424561e-01
2.510000000000000000e+02,1.929107159376144409e-01
2.520000000000000000e+02,1.907674372196197510e-01
2.530000000000000000e+02,1.887026280164718628e-01
2.540000000000000000e+02,1.867122948169708252e-01
2.550000000000000000e+02,1.847935318946838379e-01
2.560000000000000000e+02,1.829431802034378052e-01
2.570000000000000000e+02,1.811582446098327637e-01
2.580000000000000000e+02,1.794359236955642700e-01
2.590000000000000000e+02,1.777736246585845947e-01
2.600000000000000000e+02,1.761688441038131714e-01
2.610000000000000000e+02,1.746190637350082397e-01
2.620000000000000000e+02,1.731219738721847534e-01
2.630000000000000000e+02,1.716752797365188599e-01
2.640000000000000000e+02,1.702770292758941650e-01
2.650000000000000000e+02,1.689251512289047241e-01
2.660000000000000000e+02,1.676176935434341431e-01
2.670000000000000000e+02,1.663529127836227417e-01
2.680000000000000000e+02,1.651289910078048706e-01
2.690000000000000000e+02,1.639441698789596558e-01
2.700000000000000000e+02,1.627968996763229370e-01
2.710000000000000000e+02,1.616857796907424927e-01
2.720000000000000000e+02,1.606094092130661011e-01
2.730000000000000000e+02,1.595662683248519897e-01
2.740000000000000000e+02,1.585552245378494263e-01
2.750000000000000000e+02,1.575749665498733521e-01
2.760000000000000000e+02,1.566243171691894531e-01
2.770000000000000000e+02,1.557022482156753540e-01
2.780000000000000000e+02,1.548077464103698730e-01
2.790000000000000000e+02,1.539398580789566040e-01
2.800000000000000000e+02,1.530974805355072021e-01
2.810000000000000000e+02,1.522797197103500366e-01
