time,ILCC
6.700000000000000000e+01,1.913490444421768188e-01
6.800000000000000000e+01,1.746152192354202271e-01
6.900000000000000000e+01,1.910416632890701294e-01
7.000000000000000000e+01,1.985482722520828247e-01
7.100000000000000000e+01,1.830548197031021118e-01
7.200000000000000000e+01,1.837743669748306274e-01
7.300000000000000000e+01,1.870523989200592041e-01
7.400000000000000000e+01,1.844537258148193359e-01
7.500000000000000000e+01,1.717037707567214966e-01
7.600000000000000000e+01,1.725311577320098877e-01
7.700000000000000000e+01,1.745738834142684937e-01
7.800000000000000000e+01,1.677750945091247559e-01
7.900000000000000000e+01,1.742124110460281372e-01
8.000000000000000000e+01,1.703654080629348755e-01
8.100000000000000000e+01,1.698990464210510254e-01
8.200000000000000000e+01,1.682404279708862305e-01
8.300000000000000000e+01,1.619170904159545898e-01
8.400000000000000000e+01,1.750779449939727783e-01
8.500000000000000000e+01,1.694087386131286621e-01
8.600000000000000000e+01,1.668727695941925049e-01
8.700000000000000000e+01,1.646107137203216553e-01
8.800000000000000000e+01,1.638582348823547363e-01
8.900000000000000000e+01,1.616009175777435303e-01
9.000000000000000000e+01,1.614862680435180664e-01
9.100000000000000000e+01,1.619780957698822021e-01
9.200000000000000000e+01,1.686879694461822510e-01
9.300000000000000000e+01,1.522777378559112549e-01
9.400000000000000000e+01,1.601490527391433716e-01
9.500000000000000000e+01,1.649183928966522217e-01
9.600000000000000000e+01,1.582019776105880737e-01
9.700000000000000000e+01,1.547031849622726440e-01
9.800000000000000000e+01,1.562391966581344604e-01
9.900000000000000000e+01,1.560049504041671753e-01
1.000000000000000000e+02,1.523479968309402466e-01
1.010000000000000000e+02,1.548380255699157715e-01
1.020000000000000000e+02,1.578288376331329346e-01
1.030000000000000000e+02,1.621874421834945679e-01
1.040000000000000000e+02,1.600549966096878052e-01
1.050000000000000000e+02,1.449263542890548706e-01
1.060000000000000000e+02,1.548016071319580078e-01
1.070000000000000000e+02,1.486191749572753906e-01
1.080000000000000000e+02,1.417849510908126831e-01
1.090000000000000000e+02,1.537123620510101318e-01
1.100000000000000000e+02,1.494495570659637451e-01
1.110000000000000000e+02,1.439108699560165405e-01
1.120000000000000000e+02,1.504402011632919312e-01
1.130000000000000000e+02,1.483010202646255493e-01
1.140000000000000000e+02,1.500165909528732300e-01
1.150000000000000000e+02,1.448491513729095459e-01
1.160000000000000000e+02,1.445753872394561768e-01
1.170000000000000000e+02,1.461741179227828979e-01
1.180000000000000000e+02,1.452547907829284668e-01
1.190000000000000000e+02,1.461501866579055786e-01
1.200000000000000000e+02,1.401069015264511108e-01
1.210000000000000000e+02,1.448779851198196411e-01
1.220000000000000000e+02,1.484490036964416504e-01
1.230000000000000000e+02,1.379686444997787476e-01
1.240000000000000000e+02,1.420114189386367798e-01
1.250000000000000000e+02,1.382269710302352905e-01
1.260000000000000000e+02,1.428647935390472412e-01
1.270000000000000000e+02,1.456540524959564209e-01
1.280000000000000000e+02,1.425769478082656860e-01
1.290000000000000000e+02,1.353927403688430786e-01
1.300000000000000000e+02,1.370207518339157104e-01
1.310000000000000000e+02,1.335259974002838135e-01
1.320000000000000000e+02,1.297035664319992065e-01
1.330000000000000000e+02,1.357323229312896729e-01
1.340000000000000000e+02,1.300981491804122925e-01
1.350000000000000000e+02,1.310400813817977905e-01
1.360000000000000000e+02,1.378738582134246826e-01
1.370000000000000000e+02,1.332450807094573975e-01
1.380000000000000000e+02,1.393888294696807861e-01
1.390000000000000000e+02,1.331679522991180420e-01
1.400000000000000000e+02,1.349177658557891846e-01
1.410000000000000000e+02,1.407895386219024658e-01
1.420000000000000000e+02,1.347162425518035889e-01
1.430000000000000000e+02,1.279316544532775879e-01
1.440000000000000000e+02,1.205610185861587524e-01
1.450000000000000000e+02,1.324740648269653320e-01
1.460000000000000000e+02,1.321122646331787109e-01
1.470000000000000000e+02,1.337176561355590820e-01
1.480000000000000000e+02,1.250659376382827759e-01
1.490000000000000000e+02,1.326636075973510742e-01
1.500000000000000000e+02,1.254399418830871582e-01
1.510000000000000000e+02,1.257273554801940918e-01
1.520000000000000000e+02,1.191290616989135742e-01
1.530000000000000000e+02,1.244562566280364990e-01
1.540000000000000000e+02,1.182454824447631836e-01
1.550000000000000000e+02,1.303180158138275146e-01
1.560000000000000000e+02,1.182028353214263916e-01
1.570000000000000000e+02,1.281561553478240967e-01
1.580000000000000000e+02,1.162296161055564880e-01
1.590000000000000000e+02,1.081007122993469238e-01
1.600000000000000000e+02,1.169358119368553162e-01
1.610000000000000000e+02,1.148531213402748108e-01
1.620000000000000000e+02,1.167311817407608032e-01
1.630000000000000000e+02,1.204605028033256531e-01
1.640000000000000000e+02,1.132495552301406860e-01
1.650000000000000000e+02,1.075714603066444397e-01
1.660000000000000000e+02,8.933953940868377686e-02
1.670000000000000000e+02,1.023161858320236206e-01
1.680000000000000000e+02,9.864234924316406250e-02
1.690000000000000000e+02,1.079367846250534058e-01
1.700000000000000000e+02,1.073755845427513123e-01
1.710000000000000000e+02,9.680142253637313843e-02
1.720000000000000000e+02,9.382145106792449951e-02
1.730000000000000000e+02,1.042116880416870117e-01
1.740000000000000000e+02,9.283858537673950195e-02
1.750000000000000000e+02,9.075950086116790771e-02
1.760000000000000000e+02,9.378251433372497559e-02
1.770000000000000000e+02,9.103499352931976318e-02
1.780000000000000000e+02,8.483596146106719971e-02
1.790000000000000000e+02,8.305107057094573975e-02
1.800000000000000000e+02,9.071902930736541748e-02
1.810000000000000000e+02,7.366690039634704590e-02
1.820000000000000000e+02,7.385355979204177856e-02
1.830000000000000000e+02,6.896926462650299072e-02
1.840000000000000000e+02,7.602370530366897583e-02
1.850000000000000000e+02,6.619039177894592285e-02
1.860000000000000000e+02,5.484746769070625305e-02
1.870000000000000000e+02,6.048860028386116028e-02
1.880000000000000000e+02,5.259237810969352722e-02
1.890000000000000000e+02,4.476746916770935059e-02
1.900000000000000000e+02,4.818441718816757202e-02
1.910000000000000000e+02,4.101797193288803101e-02
1.920000000000000000e+02,4.290368035435676575e-02
1.930000000000000000e+02,3.860023617744445801e-02
1.940000000000000000e+02,3.826028108596801758e-02
1.950000000000000000e+02,3.453158587217330933e-02
1.960000000000000000e+02,3.450742363929748535e-02
1.970000000000000000e+02,2.566190995275974274e-02
